New York, NY,8398748
Los Angeles, CA,3990469
Chicago, IL,2705988
Toronto, ON,2503281
Houston, TX,2326090
Phoenix, AZ,1660272
Philadelphia, PA,1584138
San Antonio, TX,1532212
San Diego, CA,1425999
Dallas, TX,1345076
San Jose, CA,1030119
Austin, TX,964243
Jacksonville, FL,903896
Fort Worth, TX,898919
Columbus, OH,895877
San Francisco, CA,883305
Charlotte, NC,872506
Indianapolis city (balance), IN,864131
Seattle, WA,744949
Denver, CO,716492
Washington, DC,702455
Boston, MA,695926
El Paso, TX,682686
Detroit, MI,672681
Nashville-Davidson metropolitan government (balance), TN,665498
Portland, OR,652573
Memphis, TN,650632
Oklahoma City, OK,649410
Las Vegas, NV,644664
Louisville/Jefferson County metro government (balance), KY,620149
Baltimore, MD,602495
Milwaukee, WI,592002
Albuquerque, NM,560234
Tucson, AZ,545987
Fresno, CA,530073
Mesa, AZ,508979
Sacramento, CA,508517
Atlanta, GA,498073
Kansas City, MO,491809
Colorado Springs, CO,472666
Miami, FL,470911
Raleigh, NC,470509
Omaha, NE,468267
Long Beach, CA,467353
Virginia Beach, VA,450189
Oakland, CA,429114
Minneapolis, MN,425395
Tulsa, OK,401112
Arlington, TX,398122
Tampa, FL,392905
New Orleans, LA,391006
Wichita, KS,389259
Cleveland, OH,383781
Bakersfield, CA,383601
Aurora, CO,373487
Anaheim, CA,352018
Urban Honolulu, HI,347403
Santa Ana, CA,332727
Riverside, CA,330080
Corpus Christi, TX,326566
Lexington-Fayette, KY,323780
Stockton, CA,311189
Henderson, NV,310374
San Juan, PR,309990
St. Paul, MN,307701
St. Louis, MO,302838
Cincinnati, OH,302615
Pittsburgh, PA,301038
Greensboro, NC,294726
Anchorage, AK,291538
Plano, TX,287765
Lincoln, NE,287399
Orlando, FL,285705
Irvine, CA,282584
Newark, NJ,282102
Toledo, OH,274973
Durham, NC,274497
Chula Vista, CA,271653
Jersey City, NJ,265560
St. Petersburg, FL,265100
Fort Wayne, IN,264170
Laredo, TX,259512
Madison, WI,258034
Chandler, AZ,257153
Buffalo, NY,256322
Lubbock, TX,255885
Scottsdale, AZ,255315
Reno, NV,250989
Glendale, AZ,250705
Gilbert, AZ,248269
Winston-Salem, NC,246334
North Las Vegas, NV,245949
Norfolk, VA,244076
Chesapeake, VA,242634
Garland, TX,242402
Paradise, NV,242266
Irving, TX,242228
Hialeah, FL,238950
Fremont, CA,237815
Arlington, VA,237521
Boise City, ID,228807
Richmond, VA,228783
Baton Rouge, LA,221606
Spokane, WA,219197
Des Moines, IA,216993
Tacoma, WA,216271
San Bernardino, CA,215929
Modesto, CA,215032
Spring Valley, NV,214161
Fontana, CA,213736
Santa Clarita, CA,210085
Oxnard, CA,209886
Fayetteville, NC,209465
Birmingham, AL,209294
Moreno Valley, CA,209051
Aurora, IL,206389
Rochester, NY,206290
Glendale, CA,201374
Amarillo, TX,200880
Huntington Beach, CA,200658
Salt Lake City, UT,200576
Grand Rapids, MI,200230
Huntsville, AL,199808
Yonkers, NY,199646
Montgomery, AL,198218
Akron, OH,198025
Little Rock, AR,197868
Augusta-Richmond County consolidated government (balance), GA,196138
Port St. Lucie, FL,195251
Grand Prairie, TX,194600
Columbus, GA,194160
Tallahassee, FL,193550
Overland Park, KS,192525
Tempe, AZ,192354
McKinney, TX,191666
Mobile, AL,189570
Cape Coral, FL,189342
Shreveport, LA,189149
Sunrise Manor, NV,188515
Frisco, TX,188153
Knoxville, TN,187514
Enterprise, NV,187078
Worcester, MA,185883
Brownsville, TX,183389
Vancouver, WA,183017
Fort Lauderdale, FL,182611
Sioux Falls, SD,181906
Ontario, CA,181119
Chattanooga, TN,180551
Providence, RI,179335
